I2,b1,tau,V_wait,Action,q_star,V_final
-50,0,7.0,5517.50,WAIT,0,5517.50
-50,1,7.0,5557.50,WAIT,0,5557.50
-50,2,7.0,5597.50,WAIT,0,5597.50
-50,3,7.0,5637.50,WAIT,0,5637.50
-50,4,7.0,5677.50,WAIT,0,5677.50
-50,5,7.0,5717.50,WAIT,0,5717.50
-50,6,7.0,5757.50,WAIT,0,5757.50
-50,7,7.0,5797.50,WAIT,0,5797.50
-50,8,7.0,5837.50,WAIT,0,5837.50
-50,9,7.0,5877.50,WAIT,0,5877.50
-50,10,7.0,5917.50,WAIT,0,5917.50
-50,11,7.0,5957.50,WAIT,0,5957.50
-50,12,7.0,5997.50,WAIT,0,5997.50
-50,13,7.0,6037.50,WAIT,0,6037.50
-50,14,7.0,6077.50,WAIT,0,6077.50
-50,15,7.0,6117.50,WAIT,0,6117.50
-50,16,7.0,6157.50,WAIT,0,6157.50
-50,17,7.0,6197.50,WAIT,0,6197.50
-50,18,7.0,6237.50,WAIT,0,6237.50
-50,19,7.0,6277.50,WAIT,0,6277.50
-49,0,7.0,5418.70,WAIT,0,5418.70
-49,1,7.0,5458.70,WAIT,0,5458.70
-49,2,7.0,5498.70,WAIT,0,5498.70
-49,3,7.0,5538.70,WAIT,0,5538.70
-49,4,7.0,5578.70,WAIT,0,5578.70
-49,5,7.0,5618.70,WAIT,0,5618.70
-49,6,7.0,5658.70,WAIT,0,5658.70
-49,7,7.0,5698.70,WAIT,0,5698.70
-49,8,7.0,5738.70,WAIT,0,5738.70
-49,9,7.0,5778.70,WAIT,0,5778.70
-49,10,7.0,5818.70,WAIT,0,5818.70
-49,11,7.0,5858.70,WAIT,0,5858.70
-49,12,7.0,5898.70,WAIT,0,5898.70
-49,13,7.0,5938.70,WAIT,0,5938.70
-49,14,7.0,5978.70,WAIT,0,5978.70
-49,15,7.0,6018.70,WAIT,0,6018.70
-49,16,7.0,6058.70,WAIT,0,6058.70
-49,17,7.0,6098.70,WAIT,0,6098.70
-49,18,7.0,6138.70,WAIT,0,6138.70
-49,19,7.0,6178.70,WAIT,0,6178.70
-48,0,7.0,5321.10,WAIT,0,5321.10
-48,1,7.0,5361.10,WAIT,0,5361.10
-48,2,7.0,5401.10,WAIT,0,5401.10
-48,3,7.0,5441.10,WAIT,0,5441.10
-48,4,7.0,5481.10,WAIT,0,5481.10
-48,5,7.0,5521.10,WAIT,0,5521.10
-48,6,7.0,5561.10,WAIT,0,5561.10
-48,7,7.0,5601.10,WAIT,0,5601.10
-48,8,7.0,5641.10,WAIT,0,5641.10
-48,9,7.0,5681.10,WAIT,0,5681.10
-48,10,7.0,5721.10,WAIT,0,5721.10
-48,11,7.0,5761.10,WAIT,0,5761.10
-48,12,7.0,5801.10,WAIT,0,5801.10
-48,13,7.0,5841.10,WAIT,0,5841.10
-48,14,7.0,5881.10,WAIT,0,5881.10
-48,15,7.0,5921.10,WAIT,0,5921.10
-48,16,7.0,5961.10,WAIT,0,5961.10
-48,17,7.0,6001.10,WAIT,0,6001.10
-48,18,7.0,6041.10,WAIT,0,6041.10
-48,19,7.0,6081.10,WAIT,0,6081.10
-47,0,7.0,5224.70,WAIT,0,5224.70
-47,1,7.0,5264.70,WAIT,0,5264.70
-47,2,7.0,5304.70,WAIT,0,5304.70
-47,3,7.0,5344.70,WAIT,0,5344.70
-47,4,7.0,5384.70,WAIT,0,5384.70
-47,5,7.0,5424.70,WAIT,0,5424.70
-47,6,7.0,5464.70,WAIT,0,5464.70
-47,7,7.0,5504.70,WAIT,0,5504.70
-47,8,7.0,5544.70,WAIT,0,5544.70
-47,9,7.0,5584.70,WAIT,0,5584.70
-47,10,7.0,5624.70,WAIT,0,5624.70
-47,11,7.0,5664.70,WAIT,0,5664.70
-47,12,7.0,5704.70,WAIT,0,5704.70
-47,13,7.0,5744.70,WAIT,0,5744.70
