I2,b1,tau,V_wait,Action,q_star,V_final
-50,0,9.9,8023.83,WAIT,0,8023.83
-50,1,9.9,8078.33,WAIT,0,8078.33
-50,2,9.9,8132.83,WAIT,0,8132.83
-50,3,9.9,8187.33,WAIT,0,8187.33
-50,4,9.9,8241.83,WAIT,0,8241.83
-50,5,9.9,8296.33,WAIT,0,8296.33
-50,6,9.9,8350.83,WAIT,0,8350.83
-50,7,9.9,8405.33,WAIT,0,8405.33
-50,8,9.9,8459.83,WAIT,0,8459.83
-50,9,9.9,8514.33,WAIT,0,8514.33
-50,10,9.9,8568.83,WAIT,0,8568.83
-50,11,9.9,8623.33,WAIT,0,8623.33
-50,12,9.9,8677.83,WAIT,0,8677.83
-50,13,9.9,8732.33,WAIT,0,8732.33
-50,14,9.9,8786.83,WAIT,0,8786.83
-50,15,9.9,8841.33,WAIT,0,8841.33
-50,16,9.9,8895.83,WAIT,0,8895.83
-50,17,9.9,8950.33,WAIT,0,8950.33
-50,18,9.9,9004.83,WAIT,0,9004.83
-50,19,9.9,9059.33,WAIT,0,9059.33
-49,0,9.9,7910.52,WAIT,0,7910.52
-49,1,9.9,7965.02,WAIT,0,7965.02
-49,2,9.9,8019.52,WAIT,0,8019.52
-49,3,9.9,8074.02,WAIT,0,8074.02
-49,4,9.9,8128.52,WAIT,0,8128.52
-49,5,9.9,8183.02,WAIT,0,8183.02
-49,6,9.9,8237.52,WAIT,0,8237.52
-49,7,9.9,8292.02,WAIT,0,8292.02
-49,8,9.9,8346.52,WAIT,0,8346.52
-49,9,9.9,8401.02,WAIT,0,8401.02
-49,10,9.9,8455.52,WAIT,0,8455.52
-49,11,9.9,8510.02,WAIT,0,8510.02
-49,12,9.9,8564.52,WAIT,0,8564.52
-49,13,9.9,8619.02,WAIT,0,8619.02
-49,14,9.9,8673.52,WAIT,0,8673.52
-49,15,9.9,8728.02,WAIT,0,8728.02
-49,16,9.9,8782.52,WAIT,0,8782.52
-49,17,9.9,8837.02,WAIT,0,8837.02
-49,18,9.9,8891.52,WAIT,0,8891.52
-49,19,9.9,8946.02,WAIT,0,8946.02
-48,0,9.9,7798.43,WAIT,0,7798.43
-48,1,9.9,7852.93,WAIT,0,7852.93
-48,2,9.9,7907.43,WAIT,0,7907.43
-48,3,9.9,7961.93,WAIT,0,7961.93
-48,4,9.9,8016.43,WAIT,0,8016.43
-48,5,9.9,8070.93,WAIT,0,8070.93
-48,6,9.9,8125.43,WAIT,0,8125.43
-48,7,9.9,8179.93,WAIT,0,8179.93
-48,8,9.9,8234.43,WAIT,0,8234.43
-48,9,9.9,8288.93,WAIT,0,8288.93
-48,10,9.9,8343.43,WAIT,0,8343.43
-48,11,9.9,8397.93,WAIT,0,8397.93
-48,12,9.9,8452.43,WAIT,0,8452.43
-48,13,9.9,8506.93,WAIT,0,8506.93
-48,14,9.9,8561.43,WAIT,0,8561.43
-48,15,9.9,8615.93,WAIT,0,8615.93
-48,16,9.9,8670.43,WAIT,0,8670.43
-48,17,9.9,8724.93,WAIT,0,8724.93
-48,18,9.9,8779.43,WAIT,0,8779.43
-48,19,9.9,8833.93,WAIT,0,8833.93
-47,0,9.9,7687.52,WAIT,0,7687.52
-47,1,9.9,7742.02,WAIT,0,7742.02
-47,2,9.9,7796.52,WAIT,0,7796.52
-47,3,9.9,7851.02,WAIT,0,7851.02
-47,4,9.9,7905.52,WAIT,0,7905.52
-47,5,9.9,7960.02,WAIT,0,7960.02
-47,6,9.9,8014.52,WAIT,0,8014.52
-47,7,9.9,8069.02,WAIT,0,8069.02
-47,8,9.9,8123.52,WAIT,0,8123.52
-47,9,9.9,8178.02,WAIT,0,8178.02
-47,10,9.9,8232.52,WAIT,0,8232.52
-47,11,9.9,8287.02,WAIT,0,8287.02
-47,12,9.9,8341.52,WAIT,0,8341.52
-47,13,9.9,8396.02,WAIT,0,8396.02
-47,14,9.9,8450.52,WAIT,0,8450.52
-47,15,9.9,8505.02,WAIT,0,8505.02
-47,16,9.9,8559.52,WAIT,0,8559.52
-47,17,9.9,8614.02,WAIT,0,8614.02
-47,18,9.9,8668.52,WAIT,0,8668.52
-47,19,9.9,8723.02,WAIT,0,8723.02
-46,0,9.9,7577.83,WAIT,0,7577.83
-46,1,9.9,7632.33,WAIT,0,7632.33
-46,2,9.9,7686.83,WAIT,0,7686.83
-46,3,9.9,7741.33,WAIT,0,7741.33
-46,4,9.9,7795.83,WAIT,0,7795.83
-46,5,9.9,7850.33,WAIT,0,7850.33
-46,6,9.9,7904.83,WAIT,0,7904.83
-46,7,9.9,7959.33,WAIT,0,7959.33
-46,8,9.9,8013.83,WAIT,0,8013.83
-46,9,9.9,8068.33,WAIT,0,8068.33
-46,10,9.9,8122.83,WAIT,0,8122.83
-46,11,9.9,8177.33,WAIT,0,8177.33
-46,12,9.9,8231.83,WAIT,0,8231.83
-46,13,9.9,8286.33,WAIT,0,8286.33
-46,14,9.9,8340.83,WAIT,0,8340.83
-46,15,9.9,8395.33,WAIT,0,8395.33
-46,16,9.9,8449.83,WAIT,0,8449.83
-46,17,9.9,8504.33,WAIT,0,8504.33
-46,18,9.9,8558.83,WAIT,0,8558.83
-46,19,9.9,8613.33,WAIT,0,8613.33
-45,0,9.9,7469.33,WAIT,0,7469.33
-45,1,9.9,7523.83,WAIT,0,7523.83
-45,2,9.9,7578.33,WAIT,0,7578.33
-45,3,9.9,7632.83,WAIT,0,7632.83
-45,4,9.9,7687.33,WAIT,0,7687.33
-45,5,9.9,7741.83,WAIT,0,7741.83
-45,6,9.9,7796.33,WAIT,0,7796.33
-45,7,9.9,7850.83,WAIT,0,7850.83
-45,8,9.9,7905.33,WAIT,0,7905.33
-45,9,9.9,7959.83,WAIT,0,7959.83
-45,10,9.9,8014.33,WAIT,0,8014.33
-45,11,9.9,8068.83,WAIT,0,8068.83
-45,12,9.9,8123.33,WAIT,0,8123.33
-45,13,9.9,8177.83,WAIT,0,8177.83
-45,14,9.9,8232.33,WAIT,0,8232.33
-45,15,9.9,8286.83,WAIT,0,8286.83
-45,16,9.9,8341.33,WAIT,0,8341.33
-45,17,9.9,8395.83,WAIT,0,8395.83
-45,18,9.9,8450.33,WAIT,0,8450.33
-45,19,9.9,8504.83,WAIT,0,8504.83
-44,0,9.9,7362.02,WAIT,0,7362.02
-44,1,9.9,7416.52,WAIT,0,7416.52
-44,2,9.9,7471.02,WAIT,0,7471.02
-44,3,9.9,7525.52,WAIT,0,7525.52
-44,4,9.9,7580.02,WAIT,0,7580.02
-44,5,9.9,7634.52,WAIT,0,7634.52
-44,6,9.9,7689.02,WAIT,0,7689.02
-44,7,9.9,7743.52,WAIT,0,7743.52
-44,8,9.9,7798.02,WAIT,0,7798.02
-44,9,9.9,7852.52,WAIT,0,7852.52
-44,10,9.9,7907.02,WAIT,0,7907.02
-44,11,9.9,7961.52,WAIT,0,7961.52
-44,12,9.9,8016.02,WAIT,0,8016.02
-44,13,9.9,8070.52,WAIT,0,8070.52
-44,14,9.9,8125.02,WAIT,0,8125.02
-44,15,9.9,8179.52,WAIT,0,8179.52
-44,16,9.9,8234.02,WAIT,0,8234.02
-44,17,9.9,8288.52,WAIT,0,8288.52
-44,18,9.9,8343.02,WAIT,0,8343.02
-44,19,9.9,8397.52,WAIT,0,8397.52
-43,0,9.9,7255.93,WAIT,0,7255.93
