I2,b1,tau,V_wait,Action,q_star,V_final
-50,0,5.0,4107.50,WAIT,0,4107.50
-50,1,5.0,4137.50,WAIT,0,4137.50
-50,2,5.0,4167.50,WAIT,0,4167.50
-50,3,5.0,4197.50,WAIT,0,4197.50
-50,4,5.0,4227.50,WAIT,0,4227.50
-50,5,5.0,4257.50,WAIT,0,4257.50
-50,6,5.0,4287.50,WAIT,0,4287.50
-50,7,5.0,4317.50,WAIT,0,4317.50
-50,8,5.0,4347.50,WAIT,0,4347.50
-50,9,5.0,4377.50,WAIT,0,4377.50
-50,10,5.0,4407.50,WAIT,0,4407.50
-50,11,5.0,4437.50,WAIT,0,4437.50
-50,12,5.0,4467.50,WAIT,0,4467.50
-50,13,5.0,4497.50,WAIT,0,4497.50
-50,14,5.0,4527.50,WAIT,0,4527.50
-50,15,5.0,4557.50,WAIT,0,4557.50
-50,16,5.0,4587.50,WAIT,0,4587.50
-50,17,5.0,4617.50,WAIT,0,4617.50
-50,18,5.0,4647.50,WAIT,0,4647.50
-50,19,5.0,4677.50,WAIT,0,4677.50
-49,0,5.0,4018.70,WAIT,0,4018.70
-49,1,5.0,4048.70,WAIT,0,4048.70
-49,2,5.0,4078.70,WAIT,0,4078.70
-49,3,5.0,4108.70,WAIT,0,4108.70
-49,4,5.0,4138.70,WAIT,0,4138.70
-49,5,5.0,4168.70,WAIT,0,4168.70
-49,6,5.0,4198.70,WAIT,0,4198.70
-49,7,5.0,4228.70,WAIT,0,4228.70
-49,8,5.0,4258.70,WAIT,0,4258.70
-49,9,5.0,4288.70,WAIT,0,4288.70
-49,10,5.0,4318.70,WAIT,0,4318.70
-49,11,5.0,4348.70,WAIT,0,4348.70
-49,12,5.0,4378.70,WAIT,0,4378.70
-49,13,5.0,4408.70,WAIT,0,4408.70
-49,14,5.0,4438.70,WAIT,0,4438.70
-49,15,5.0,4468.70,WAIT,0,4468.70
-49,16,5.0,4498.70,WAIT,0,4498.70
-49,17,5.0,4528.70,WAIT,0,4528.70
-49,18,5.0,4558.70,WAIT,0,4558.70
-49,19,5.0,4588.70,WAIT,0,4588.70
-48,0,5.0,3931.10,WAIT,0,3931.10
-48,1,5.0,3961.10,WAIT,0,3961.10
-48,2,5.0,3991.10,WAIT,0,3991.10
-48,3,5.0,4021.10,WAIT,0,4021.10
-48,4,5.0,4051.10,WAIT,0,4051.10
-48,5,5.0,4081.10,WAIT,0,4081.10
