I2,b1,tau,V_wait,Action,q_star,V_final
0,0,5.0,600.0,WAIT,0,600.0
0,1,5.0,655.0,WAIT,0,655.0
0,2,5.0,710.0,WAIT,0,710.0
0,3,5.0,765.0,WAIT,0,765.0
0,4,5.0,820.0,WAIT,0,820.0
0,5,5.0,875.0,WAIT,0,875.0
0,6,5.0,930.0,WAIT,0,930.0
0,7,5.0,985.0,WAIT,0,985.0
0,8,5.0,1040.0,WAIT,0,1040.0
0,9,5.0,1095.0,WAIT,0,1095.0
0,10,5.0,1150.0,WAIT,0,1150.0
0,11,5.0,1205.0,WAIT,0,1205.0
0,12,5.0,1260.0,WAIT,0,1260.0
0,13,5.0,1315.0,WAIT,0,1315.0
0,14,5.0,1370.0,WAIT,0,1370.0
0,15,5.0,1425.0,WAIT,0,1425.0
0,16,5.0,1480.0,WAIT,0,1480.0
0,17,5.0,1535.0,WAIT,0,1535.0
0,18,5.0,1590.0,WAIT,0,1590.0
0,19,5.0,1645.0,WAIT,0,1645.0
0,20,5.0,1700.0,WAIT,0,1700.0
0,21,5.0,1755.0,WAIT,0,1755.0
0,22,5.0,1810.0,WAIT,0,1810.0
0,23,5.0,1865.0,WAIT,0,1865.0
0,24,5.0,1920.0,WAIT,0,1920.0
0,25,5.0,1975.0,WAIT,0,1975.0
0,26,5.0,2030.0,WAIT,0,2030.0
0,27,5.0,2085.0,WAIT,0,2085.0
0,28,5.0,2140.0,WAIT,0,2140.0
0,29,5.0,2195.0,WAIT,0,2195.0
0,30,5.0,2250.0,WAIT,0,2250.0
1,0,5.0,550.5,WAIT,0,550.5
1,1,5.0,605.50,WAIT,0,605.50
1,2,5.0,660.50,WAIT,0,660.50
1,3,5.0,715.50,WAIT,0,715.50
1,4,5.0,770.50,WAIT,0,770.50
1,5,5.0,825.50,WAIT,0,825.50
1,6,5.0,880.50,WAIT,0,880.50
1,7,5.0,935.50,WAIT,0,935.50
1,8,5.0,990.50,WAIT,0,990.50
1,9,5.0,1045.50,WAIT,0,1045.50
1,10,5.0,1100.50,WAIT,0,1100.50
1,11,5.0,1155.50,WAIT,0,1155.50
1,12,5.0,1210.50,WAIT,0,1210.50
1,13,5.0,1265.50,WAIT,0,1265.50
1,14,5.0,1320.50,WAIT,0,1320.50
1,15,5.0,1375.50,WAIT,0,1375.50
1,16,5.0,1430.50,WAIT,0,1430.50
1,17,5.0,1485.50,WAIT,0,1485.50
1,18,5.0,1540.50,WAIT,0,1540.50
1,19,5.0,1595.50,WAIT,0,1595.50
1,20,5.0,1650.50,WAIT,0,1650.50
1,21,5.0,1705.50,WAIT,0,1705.50
1,22,5.0,1760.50,WAIT,0,1760.50
1,23,5.0,1815.50,WAIT,0,1815.50
1,24,5.0,1870.50,WAIT,0,1870.50
1,25,5.0,1925.50,WAIT,0,1925.50
1,26,5.0,1980.50,WAIT,0,1980.50
1,27,5.0,2035.50,WAIT,0,2035.50
1,28,5.0,2090.50,WAIT,0,2090.50
1,29,5.0,2145.50,WAIT,0,2145.50
1,30,5.0,2200.50,WAIT,0,2200.50
2,0,5.0,506.5,WAIT,0,506.5
2,1,5.0,561.50,WAIT,0,561.50
2,2,5.0,616.50,WAIT,0,616.50
2,3,5.0,671.50,WAIT,0,671.50
2,4,5.0,726.50,WAIT,0,726.50
2,5,5.0,781.50,WAIT,0,781.50
2,6,5.0,836.50,WAIT,0,836.50
2,7,5.0,891.50,WAIT,0,891.50
2,8,5.0,946.50,WAIT,0,946.50
2,9,5.0,1001.50,WAIT,0,1001.50
2,10,5.0,1056.50,WAIT,0,1056.50
2,11,5.0,1111.50,WAIT,0,1111.50
2,12,5.0,1166.50,WAIT,0,1166.50
2,13,5.0,1221.50,WAIT,0,1221.50
2,14,5.0,1276.50,WAIT,0,1276.50
2,15,5.0,1331.50,WAIT,0,1331.50
2,16,5.0,1386.50,WAIT,0,1386.50
2,17,5.0,1441.50,WAIT,0,1441.50
2,18,5.0,1496.50,WAIT,0,1496.50
2,19,5.0,1551.50,WAIT,0,1551.50
2,20,5.0,1606.50,WAIT,0,1606.50
2,21,5.0,1661.50,WAIT,0,1661.50
2,22,5.0,1716.50,WAIT,0,1716.50
2,23,5.0,1771.50,WAIT,0,1771.50
2,24,5.0,1826.50,WAIT,0,1826.50
2,25,5.0,1881.50,WAIT,0,1881.50
2,26,5.0,1936.50,WAIT,0,1936.50
2,27,5.0,1991.50,WAIT,0,1991.50
2,28,5.0,2046.50,WAIT,0,2046.50
2,29,5.0,2101.50,WAIT,0,2101.50
2,30,5.0,2156.50,WAIT,0,2156.50
3,0,5.0,468.0,WAIT,0,468.0
3,1,5.0,523.00,WAIT,0,523.00
3,2,5.0,578.00,DISPATCH,2,572.50
3,3,5.0,633.00,DISPATCH,3,623.00
3,4,5.0,688.00,DISPATCH,3,678.00
3,5,5.0,743.00,DISPATCH,3,733.00
3,6,5.0,798.00,DISPATCH,3,788.00
3,7,5.0,853.00,DISPATCH,3,843.00
3,8,5.0,908.00,DISPATCH,3,898.00
3,9,5.0,963.00,DISPATCH,3,953.00
3,10,5.0,1018.00,DISPATCH,3,1008.00
3,11,5.0,1073.00,DISPATCH,3,1063.00
3,12,5.0,1128.00,DISPATCH,3,1118.00
3,13,5.0,1183.00,DISPATCH,3,1173.00
3,14,5.0,1238.00,DISPATCH,3,1228.00
3,15,5.0,1293.00,DISPATCH,3,1283.00
3,16,5.0,1348.00,DISPATCH,3,1338.00
3,17,5.0,1403.00,DISPATCH,3,1393.00
3,18,5.0,1458.00,DISPATCH,3,1448.00
3,19,5.0,1513.00,DISPATCH,3,1503.00
3,20,5.0,1568.00,DISPATCH,3,1558.00
3,21,5.0,1623.00,DISPATCH,3,1613.00
3,22,5.0,1678.00,DISPATCH,3,1668.00
3,23,5.0,1733.00,DISPATCH,3,1723.00
3,24,5.0,1788.00,DISPATCH,3,1778.00
3,25,5.0,1843.00,DISPATCH,3,1833.00
3,26,5.0,1898.00,DISPATCH,3,1888.00
