I2,b1,tau,V_wait,Action,q_star,V_final
-50,0,5.0,7395.00,WAIT,0,7395.00
-50,1,5.0,7450.00,WAIT,0,7450.00
-50,2,5.0,7505.00,WAIT,0,7505.00
-50,3,5.0,7560.00,WAIT,0,7560.00
-50,4,5.0,7615.00,WAIT,0,7615.00
-50,5,5.0,7670.00,WAIT,0,7670.00
-50,6,5.0,7725.00,WAIT,0,7725.00
-50,7,5.0,7780.00,WAIT,0,7780.00
-50,8,5.0,7835.00,WAIT,0,7835.00
-50,9,5.0,7890.00,WAIT,0,7890.00
-50,10,5.0,7945.00,WAIT,0,7945.00
-50,11,5.0,8000.00,WAIT,0,8000.00
-50,12,5.0,8055.00,WAIT,0,8055.00
-50,13,5.0,8110.00,WAIT,0,8110.00
-50,14,5.0,8165.00,WAIT,0,8165.00
-50,15,5.0,8220.00,WAIT,0,8220.00
-50,16,5.0,8275.00,WAIT,0,8275.00
-50,17,5.0,8330.00,WAIT,0,8330.00
-50,18,5.0,8385.00,WAIT,0,8385.00
-50,19,5.0,8440.00,WAIT,0,8440.00
-49,0,5.0,7232.20,WAIT,0,7232.20
-49,1,5.0,7287.20,WAIT,0,7287.20
-49,2,5.0,7342.20,WAIT,0,7342.20
-49,3,5.0,7397.20,WAIT,0,7397.20
-49,4,5.0,7452.20,WAIT,0,7452.20
-49,5,5.0,7507.20,WAIT,0,7507.20
-49,6,5.0,7562.20,WAIT,0,7562.20
-49,7,5.0,7617.20,WAIT,0,7617.20
-49,8,5.0,7672.20,WAIT,0,7672.20
-49,9,5.0,7727.20,WAIT,0,7727.20
-49,10,5.0,7782.20,WAIT,0,7782.20
-49,11,5.0,7837.20,WAIT,0,7837.20
-49,12,5.0,7892.20,WAIT,0,7892.20
-49,13,5.0,7947.20,WAIT,0,7947.20
-49,14,5.0,8002.20,WAIT,0,8002.20
-49,15,5.0,8057.20,WAIT,0,8057.20
-49,16,5.0,8112.20,WAIT,0,8112.20
-49,17,5.0,8167.20,WAIT,0,8167.20
-49,18,5.0,8222.20,WAIT,0,8222.20
-49,19,5.0,8277.20,WAIT,0,8277.20
-48,0,5.0,7071.60,WAIT,0,7071.60
-48,1,5.0,7126.60,WAIT,0,7126.60
-48,2,5.0,7181.60,WAIT,0,7181.60
-48,3,5.0,7236.60,WAIT,0,7236.60
-48,4,5.0,7291.60,WAIT,0,7291.60
-48,5,5.0,7346.60,WAIT,0,7346.60
-48,6,5.0,7401.60,WAIT,0,7401.60
-48,7,5.0,7456.60,WAIT,0,7456.60
-48,8,5.0,7511.60,WAIT,0,7511.60
-48,9,5.0,7566.60,WAIT,0,7566.60
-48,10,5.0,7621.60,WAIT,0,7621.60
-48,11,5.0,7676.60,WAIT,0,7676.60
-48,12,5.0,7731.60,WAIT,0,7731.60
-48,13,5.0,7786.60,WAIT,0,7786.60
-48,14,5.0,7841.60,WAIT,0,7841.60
-48,15,5.0,7896.60,WAIT,0,7896.60
-48,16,5.0,7951.60,WAIT,0,7951.60
-48,17,5.0,8006.60,WAIT,0,8006.60
-48,18,5.0,8061.60,WAIT,0,8061.60
-48,19,5.0,8116.60,WAIT,0,8116.60
-47,0,5.0,6913.20,WAIT,0,6913.20
-47,1,5.0,6968.20,WAIT,0,6968.20
-47,2,5.0,7023.20,WAIT,0,7023.20
-47,3,5.0,7078.20,WAIT,0,7078.20
-47,4,5.0,7133.20,WAIT,0,7133.20
-47,5,5.0,7188.20,WAIT,0,7188.20
-47,6,5.0,7243.20,WAIT,0,7243.20
-47,7,5.0,7298.20,WAIT,0,7298.20
-47,8,5.0,7353.20,WAIT,0,7353.20
-47,9,5.0,7408.20,WAIT,0,7408.20
-47,10,5.0,7463.20,WAIT,0,7463.20
-47,11,5.0,7518.20,WAIT,0,7518.20
-47,12,5.0,7573.20,WAIT,0,7573.20
-47,13,5.0,7628.20,WAIT,0,7628.20
-47,14,5.0,7683.20,WAIT,0,7683.20
-47,15,5.0,7738.20,WAIT,0,7738.20
-47,16,5.0,7793.20,WAIT,0,7793.20
-47,17,5.0,7848.20,WAIT,0,7848.20
-47,18,5.0,7903.20,WAIT,0,7903.20
-47,19,5.0,7958.20,WAIT,0,7958.20
-46,0,5.0,6757.00,WAIT,0,6757.00
-46,1,5.0,6812.00,WAIT,0,6812.00
-46,2,5.0,6867.00,WAIT,0,6867.00
-46,3,5.0,6922.00,WAIT,0,6922.00
-46,4,5.0,6977.00,WAIT,0,6977.00
-46,5,5.0,7032.00,WAIT,0,7032.00
-46,6,5.0,7087.00,WAIT,0,7087.00
-46,7,5.0,7142.00,WAIT,0,7142.00
-46,8,5.0,7197.00,WAIT,0,7197.00
-46,9,5.0,7252.00,WAIT,0,7252.00
-46,10,5.0,7307.00,WAIT,0,7307.00
-46,11,5.0,7362.00,WAIT,0,7362.00
-46,12,5.0,7417.00,WAIT,0,7417.00
-46,13,5.0,7472.00,WAIT,0,7472.00
-46,14,5.0,7527.00,WAIT,0,7527.00
-46,15,5.0,7582.00,WAIT,0,7582.00
-46,16,5.0,7637.00,WAIT,0,7637.00
-46,17,5.0,7692.00,WAIT,0,7692.00
-46,18,5.0,7747.00,WAIT,0,7747.00
-46,19,5.0,7802.00,WAIT,0,7802.00
-45,0,5.0,6603.00,WAIT,0,6603.00
-45,1,5.0,6658.00,WAIT,0,6658.00
-45,2,5.0,6713.00,WAIT,0,6713.00
-45,3,5.0,6768.00,WAIT,0,6768.00
-45,4,5.0,6823.00,WAIT,0,6823.00
-45,5,5.0,6878.00,WAIT,0,6878.00
-45,6,5.0,6933.00,WAIT,0,6933.00
-45,7,5.0,6988.00,WAIT,0,6988.00
-45,8,5.0,7043.00,WAIT,0,7043.00
-45,9,5.0,7098.00,WAIT,0,7098.00
-45,10,5.0,7153.00,WAIT,0,7153.00
-45,11,5.0,7208.00,WAIT,0,7208.00
-45,12,5.0,7263.00,WAIT,0,7263.00
-45,13,5.0,7318.00,WAIT,0,7318.00
-45,14,5.0,7373.00,WAIT,0,7373.00
-45,15,5.0,7428.00,WAIT,0,7428.00
-45,16,5.0,7483.00,WAIT,0,7483.00
-45,17,5.0,7538.00,WAIT,0,7538.00
-45,18,5.0,7593.00,WAIT,0,7593.00
-45,19,5.0,7648.00,WAIT,0,7648.00
-44,0,5.0,6451.20,WAIT,0,6451.20
-44,1,5.0,6506.20,WAIT,0,6506.20
-44,2,5.0,6561.20,WAIT,0,6561.20
-44,3,5.0,6616.20,WAIT,0,6616.20
-44,4,5.0,6671.20,WAIT,0,6671.20
-44,5,5.0,6726.20,WAIT,0,6726.20
-44,6,5.0,6781.20,WAIT,0,6781.20
-44,7,5.0,6836.20,WAIT,0,6836.20
-44,8,5.0,6891.20,WAIT,0,6891.20
-44,9,5.0,6946.20,WAIT,0,6946.20
