Time_Step,Backlog_Level_b1,Trigger_Inventory_I2
23,2,No_Transshipment
23,3,No_Transshipment
23,4,6
23,5,5
23,6,5
23,7,5
23,8,5
23,9,5
23,10,5
23,11,5
23,12,5
23,13,6
23,14,6
23,15,6
23,16,7
23,17,7
23,18,8
23,19,9
23,20,10
24,0,No_Transshipment
24,1,No_Transshipment
24,2,No_Transshipment
24,3,No_Transshipment
24,4,6
24,5,5
24,6,5
24,7,5
24,8,5
24,9,5
24,10,5
24,11,5
24,12,5
24,13,6
24,14,6
24,15,6
24,16,7
24,17,7
24,18,8
24,19,9
24,20,10
25,0,No_Transshipment
25,1,No_Transshipment
25,2,No_Transshipment
25,3,No_Transshipment
25,4,6
25,5,5
25,6,5
25,7,5
25,8,5
25,9,5
25,10,5
25,11,5
25,12,5
25,13,6
25,14,6
25,15,6
25,16,7
25,17,7
25,18,8
25,19,9
25,20,10
26,0,No_Transshipment
26,1,No_Transshipment
26,2,No_Transshipment
26,3,No_Transshipment
26,4,6
26,5,5
26,6,5
26,7,5
26,8,5
26,9,5
26,10,5
26,11,5
26,12,5
26,13,6
26,14,6
26,15,6
26,16,7
26,17,7
26,18,8
26,19,9
26,20,10
27,0,No_Transshipment
27,1,No_Transshipment
27,2,No_Transshipment
27,3,No_Transshipment
27,4,6
27,5,5
27,6,5
27,7,5
27,8,5
27,9,5
27,10,5
27,11,5
27,12,5
27,13,6
27,14,6
27,15,6
27,16,7
27,17,7
27,18,8
27,19,9
27,20,10
28,0,No_Transshipment
28,1,No_Transshipment
28,2,No_Transshipment
28,3,No_Transshipment
28,4,6
28,5,5
28,6,5
28,7,5
28,8,5
28,9,5
28,10,5
28,11,5
28,12,5
28,13,6
28,14,6
28,15,6
28,16,7
28,17,7
28,18,8
28,19,9
28,20,10
29,0,No_Transshipment
29,1,No_Transshipment
29,2,No_Transshipment
29,3,No_Transshipment
29,4,6
29,5,5
29,6,5
29,7,5
29,8,5
29,9,5
29,10,5
29,11,5
29,12,5
29,13,6
29,14,6
29,15,6
29,16,7
29,17,7
29,18,8
29,19,9
29,20,10
30,0,No_Transshipment
30,1,No_Transshipment
30,2,No_Transshipment
30,3,No_Transshipment
30,4,6
30,5,5
30,6,5
30,7,5
30,8,5
30,9,5
30,10,5
30,11,5
30,12,5
30,13,6
30,14,6
30,15,6
30,16,7
30,17,7
30,18,8
30,19,9
30,20,10
31,0,No_Transshipment
31,1,No_Transshipment
31,2,No_Transshipment
31,3,No_Transshipment
31,4,6
31,5,5
31,6,5
31,7,5
31,8,5
31,9,5
31,10,5
31,11,5
31,12,6
31,13,6
31,14,6
31,15,6
31,16,7
31,17,7
31,18,8
31,19,9
31,20,10
32,0,No_Transshipment
32,1,No_Transshipment
32,2,No_Transshipment
32,3,No_Transshipment
32,4,6
32,5,5
32,6,5
32,7,5
32,8,5
32,9,5
32,10,5
32,11,5
32,12,6
32,13,6
32,14,6
32,15,6
32,16,7
32,17,7
32,18,8
32,19,9
32,20,10
33,0,No_Transshipment
33,1,No_Transshipment
33,2,No_Transshipment
33,3,No_Transshipment
33,4,6
33,5,5
33,6,5
33,7,5
33,8,5
33,9,5
33,10,5
33,11,5
33,12,6
33,13,6
33,14,6
33,15,6
33,16,7
33,17,7
33,18,8
33,19,9
33,20,10
34,0,No_Transshipment
34,1,No_Transshipment
34,2,No_Transshipment
34,3,No_Transshipment
34,4,6
34,5,5
34,6,5
34,7,5
34,8,5
34,9,5
34,10,5
34,11,5
34,12,6
34,13,6
34,14,6
34,15,6
34,16,7
34,17,7
34,18,8
34,19,9
34,20,10
35,0,No_Transshipment
35,1,No_Transshipment
35,2,No_Transshipment
35,3,No_Transshipment
35,4,6
35,5,5
35,6,5
35,7,5
35,8,5
35,9,5
35,10,5
35,11,5
35,12,6
35,13,6
35,14,6
35,15,6
35,16,7
35,17,7
35,18,8
35,19,9
35,20,10
36,0,No_Transshipment
36,1,No_Transshipment
36,2,No_Transshipment
36,3,No_Transshipment
36,4,6
36,5,5
36,6,5
36,7,5
36,8,5
36,9,5
36,10,5
36,11,5
36,12,6
36,13,6
36,14,6
36,15,6
36,16,7
36,17,7
36,18,8
36,19,9
36,20,10
37,0,No_Transshipment
37,1,No_Transshipment
37,2,No_Transshipment
37,3,No_Transshipment
37,4,6
37,5,5
37,6,5
37,7,5
37,8,5
37,9,5
37,10,5
37,11,5
37,12,6
37,13,6
37,14,6
37,15,6
37,16,7
37,17,7
37,18,8
37,19,9
37,20,10
38,0,No_Transshipment
38,1,No_Transshipment
38,2,No_Transshipment
38,3,No_Transshipment
38,4,6
38,5,5
38,6,5
38,7,5
38,8,5
38,9,5
38,10,5
38,11,5
38,12,6
38,13,6
38,14,6
38,15,6
38,16,7
38,17,7
38,18,8
38,19,9
38,20,10
39,0,No_Transshipment
39,1,No_Transshipment
39,2,No_Transshipment
39,3,No_Transshipment
39,4,6
39,5,5
39,6,5
39,7,5
39,8,5
39,9,5
39,10,5
39,11,5
39,12,6
39,13,6
39,14,6
39,15,6
39,16,7
39,17,7
39,18,8
39,19,9
39,20,10
40,0,No_Transshipment
40,1,No_Transshipment
40,2,No_Transshipment
40,3,No_Transshipment
40,4,6
40,5,5
40,6,5
40,7,5
40,8,5
40,9,5
40,10,5
40,11,5
40,12,6
40,13,6
40,14,6
40,15,6
40,16,7
40,17,7
40,18,8
40,19,9
40,20,10
41,0,No_Transshipment
41,1,No_Transshipment
41,2,No_Transshipment
41,3,No_Transshipment
41,4,6
41,5,5
41,6,5
41,7,5
41,8,5
41,9,5
41,10,5
41,11,5
41,12,6
41,13,6
41,14,6
41,15,6
41,16,7
41,17,7
41,18,8
41,19,9
41,20,10
42,0,No_Transshipment
42,1,No_Transshipment
42,2,No_Transshipment
42,3,No_Transshipment
42,4,6
42,5,5
42,6,5
42,7,5
42,8,5
42,9,5
42,10,5
42,11,5
42,12,6
42,13,6
42,14,6
42,15,6
42,16,7
42,17,7
42,18,8
42,19,9
42,20,10
43,0,No_Transshipment
43,1,No_Transshipment
43,2,No_Transshipment
43,3,No_Transshipment
43,4,6
43,5,5
43,6,5
43,7,5
43,8,5
43,9,5
43,10,5
43,11,5
43,12,6
43,13,6
43,14,6
43,15,6
43,16,6
43,17,7
43,18,8
43,19,9
43,20,10
44,0,No_Transshipment
44,1,No_Transshipment
44,2,No_Transshipment
44,3,No_Transshipment
44,4,6
44,5,5
44,6,5
44,7,5
44,8,5
44,9,5
44,10,5
44,11,5
44,12,6
44,13,6
44,14,6
44,15,6
44,16,6
44,17,7
44,18,8
44,19,9
44,20,10
45,0,No_Transshipment
45,1,No_Transshipment
45,2,No_Transshipment
45,3,No_Transshipment
45,4,6
45,5,5
45,6,5
45,7,5
45,8,5
45,9,5
45,10,5
45,11,5
45,12,6
45,13,6
45,14,6
45,15,6
45,16,6
45,17,7
45,18,8
45,19,9
45,20,10
46,0,No_Transshipment
46,1,No_Transshipment
46,2,No_Transshipment
46,3,No_Transshipment
46,4,6
46,5,5
46,6,5
46,7,5
46,8,5
46,9,5
46,10,5
46,11,5
46,12,6
46,13,6
46,14,6
46,15,6
46,16,6
46,17,7
46,18,8
46,19,8
46,20,10
47,0,No_Transshipment
47,1,No_Transshipment
47,2,No_Transshipment
47,3,No_Transshipment
47,4,6
47,5,5
47,6,5
47,7,5
47,8,5
47,9,5
47,10,5
47,11,5
47,12,6
47,13,6
47,14,6
47,15,6
47,16,6
47,17,7
47,18,8
47,19,8
47,20,10
48,0,No_Transshipment
48,1,No_Transshipment
48,2,No_Transshipment
48,3,No_Transshipment
48,4,6
48,5,5
48,6,5
48,7,5
48,8,5
48,9,5
48,10,5
48,11,6
48,12,6
48,13,6
48,14,6
48,15,6
48,16,6
48,17,7
48,18,8
48,19,8
48,20,10
49,0,No_Transshipment
49,1,No_Transshipment
49,2,No_Transshipment
49,3,No_Transshipment
49,4,6
49,5,5
49,6,5
49,7,5
49,8,5
49,9,5
49,10,5
49,11,6
49,12,6
49,13,6
49,14,6
49,15,6
49,16,6
49,17,7
49,18,8
49,19,8
49,20,10
50,0,No_Transshipment
50,1,No_Transshipment
50,2,No_Transshipment
50,3,No_Transshipment
50,4,6
50,5,5
50,6,5
50,7,5
50,8,5
50,9,5
50,10,5
50,11,6
50,12,6
50,13,6
50,14,6
50,15,6
50,16,6
50,17,7
50,18,8
50,19,8
50,20,10
51,0,No_Transshipment
51,1,No_Transshipment
51,2,No_Transshipment
51,3,No_Transshipment
51,4,6
51,5,5
51,6,5
51,7,5
51,8,5
51,9,5
51,10,5
51,11,6
51,12,6
51,13,6
51,14,6
51,15,6
51,16,6
51,17,7
51,18,8
51,19,8
51,20,10
52,0,No_Transshipment
52,1,No_Transshipment
52,2,No_Transshipment
52,3,No_Transshipment
52,4,6
52,5,5
52,6,5
52,7,5
52,8,5
52,9,5
52,10,5
52,11,6
52,12,6
52,13,6
52,14,6
52,15,6
52,16,6
52,17,7
52,18,8
52,19,8
52,20,10
53,0,No_Transshipment
53,1,No_Transshipment
53,2,No_Transshipment
53,3,No_Transshipment
53,4,6
53,5,5
53,6,5
53,7,5
53,8,5
53,9,5
53,10,6
53,11,6
53,12,6
53,13,6
53,14,6
53,15,6
53,16,6
53,17,7
53,18,8
53,19,8
53,20,10
54,0,No_Transshipment
54,1,No_Transshipment
54,2,No_Transshipment
54,3,No_Transshipment
54,4,6
54,5,5
54,6,5
54,7,5
54,8,5
54,9,5
54,10,6
54,11,6
54,12,6
54,13,6
54,14,6
54,15,6
54,16,6
54,17,7
54,18,8
54,19,8
54,20,10
55,0,No_Transshipment
55,1,No_Transshipment
55,2,No_Transshipment
55,3,No_Transshipment
55,4,6
55,5,5
55,6,5
55,7,5
55,8,6
55,9,6
55,10,6
55,11,6
55,12,6
55,13,6
55,14,6
55,15,6
55,16,6
55,17,7
55,18,8
55,19,8
55,20,10
56,0,No_Transshipment
56,1,No_Transshipment
56,2,No_Transshipment
56,3,No_Transshipment
56,4,6
56,5,6
56,6,6
56,7,6
56,8,6
56,9,6
56,10,6
56,11,6
56,12,6
56,13,6
56,14,6
56,15,6
56,16,6
56,17,7
56,18,8
56,19,8
56,20,10
57,0,No_Transshipment
57,1,No_Transshipment
57,2,No_Transshipment
57,3,No_Transshipment
57,4,6
57,5,6
57,6,6
57,7,6
57,8,6
57,9,6
57,10,6
57,11,6
57,12,6
57,13,6
57,14,6
57,15,6
57,16,6
57,17,7
57,18,8
57,19,8
57,20,10
58,0,No_Transshipment
58,1,No_Transshipment
58,2,No_Transshipment
58,3,No_Transshipment
58,4,6
58,5,6
58,6,6
58,7,6
58,8,6
58,9,6
58,10,6
58,11,6
58,12,6
58,13,6
58,14,6
58,15,6
58,16,6
58,17,7
58,18,8
58,19,8
58,20,10
59,0,No_Transshipment
59,1,No_Transshipment
59,2,No_Transshipment
59,3,No_Transshipment
59,4,6
59,5,6
59,6,6
59,7,6
59,8,6
59,9,6
59,10,6
59,11,6
59,12,6
59,13,6
59,14,6
59,15,6
59,16,6
59,17,7
59,18,8
59,19,8
59,20,10
60,0,No_Transshipment
60,1,No_Transshipment
60,2,No_Transshipment
60,3,No_Transshipment
60,4,6
60,5,6
60,6,6
60,7,6
60,8,6
60,9,6
60,10,6
60,11,6
60,12,6
60,13,6
60,14,6
60,15,6
60,16,6
60,17,7
60,18,8
60,19,8
60,20,10
61,0,No_Transshipment
61,1,No_Transshipment
61,2,No_Transshipment
61,3,No_Transshipment
61,4,6
61,5,6
61,6,6
61,7,6
61,8,6
61,9,6
61,10,6
61,11,6
61,12,6
61,13,6
61,14,6
61,15,6
61,16,6
61,17,7
61,18,8
61,19,8
61,20,9
62,0,No_Transshipment
62,1,No_Transshipment
62,2,No_Transshipment
62,3,No_Transshipment
62,4,6
62,5,6
62,6,6
62,7,6
62,8,6
62,9,6
62,10,6
62,11,6
62,12,6
62,13,6
62,14,6
62,15,6
62,16,6
62,17,7
62,18,8
62,19,8
62,20,9
63,0,No_Transshipment
63,1,No_Transshipment
63,2,No_Transshipment
63,3,No_Transshipment
63,4,6
63,5,6
63,6,6
63,7,6
63,8,6
63,9,6
63,10,6
63,11,6
63,12,6
63,13,6
63,14,6
63,15,6
63,16,6
63,17,7
63,18,8
63,19,8
63,20,9
64,0,No_Transshipment
64,1,No_Transshipment
64,2,No_Transshipment
64,3,No_Transshipment
64,4,6
64,5,6
64,6,6
64,7,6
64,8,6
64,9,6
64,10,6
64,11,6
64,12,6
64,13,6
64,14,6
64,15,6
64,16,6
64,17,7
64,18,8
64,19,8
64,20,9
65,0,No_Transshipment
65,1,No_Transshipment
65,2,No_Transshipment
65,3,No_Transshipment
65,4,6
65,5,6
65,6,6
65,7,6
65,8,6
65,9,6
65,10,6
65,11,6
65,12,6
65,13,6
65,14,6
65,15,6
65,16,6
65,17,7
65,18,8
65,19,8
65,20,9
66,0,No_Transshipment
66,1,No_Transshipment
66,2,No_Transshipment
66,3,No_Transshipment
66,4,6
66,5,6
66,6,6
66,7,6
66,8,6
66,9,6
66,10,6
66,11,6
66,12,6
66,13,6
66,14,6
66,15,6
66,16,6
66,17,7
66,18,8
66,19,8
66,20,9
67,0,No_Transshipment
67,1,No_Transshipment
67,2,No_Transshipment
67,3,No_Transshipment
67,4,6
67,5,6
67,6,6
67,7,6
67,8,6
67,9,6
67,10,6
67,11,6
67,12,6
67,13,6
67,14,6
67,15,6
67,16,6
67,17,7
67,18,8
67,19,8
67,20,9
68,0,No_Transshipment
68,1,No_Transshipment
68,2,No_Transshipment
68,3,No_Transshipment
68,4,6
68,5,6
68,6,6
68,7,6
68,8,6
68,9,6
68,10,6
68,11,6
68,12,6
68,13,6
68,14,6
68,15,6
68,16,6
68,17,7
68,18,7
68,19,8
68,20,9
69,0,No_Transshipment
69,1,No_Transshipment
69,2,No_Transshipment
69,3,No_Transshipment
69,4,6
69,5,6
69,6,6
69,7,6
69,8,6
69,9,6
69,10,6
69,11,6
69,12,6
69,13,6
69,14,6
69,15,6
69,16,6
69,17,7
69,18,7
69,19,8
69,20,9
70,0,No_Transshipment
70,1,No_Transshipment
70,2,No_Transshipment
70,3,No_Transshipment
70,4,6
70,5,6
70,6,6
70,7,6
70,8,6
70,9,6
70,10,6
70,11,6
70,12,6
70,13,6
70,14,6
70,15,6
70,16,6
70,17,7
70,18,7
70,19,8
70,20,9
71,0,No_Transshipment
71,1,No_Transshipment
71,2,No_Transshipment
71,3,No_Transshipment
71,4,6
71,5,6
71,6,6
71,7,6
71,8,6
71,9,6
71,10,6
71,11,6
71,12,6
71,13,6
71,14,6
71,15,6
71,16,6
71,17,7
71,18,7
71,19,8
71,20,9
72,0,No_Transshipment
72,1,No_Transshipment
72,2,No_Transshipment
72,3,No_Transshipment
72,4,6
72,5,6
72,6,6
72,7,6
72,8,6
72,9,6
72,10,6
72,11,6
72,12,6
72,13,6
72,14,6
72,15,6
72,16,6
72,17,7
72,18,7
72,19,8
72,20,9
73,0,No_Transshipment
73,1,No_Transshipment
73,2,No_Transshipment
73,3,No_Transshipment
73,4,6
73,5,6
73,6,6
73,7,6
73,8,6
73,9,6
73,10,6
73,11,6
73,12,6
73,13,6
73,14,6
73,15,6
73,16,6
73,17,7
73,18,7
73,19,8
73,20,9
74,0,No_Transshipment
74,1,No_Transshipment
74,2,No_Transshipment
74,3,No_Transshipment
74,4,6
74,5,6
74,6,6
74,7,6
74,8,6
74,9,6
74,10,6
74,11,6
74,12,6
74,13,6
74,14,6
74,15,6
74,16,6
74,17,7
74,18,7
74,19,8
74,20,9
75,0,No_Transshipment
75,1,No_Transshipment
75,2,No_Transshipment
75,3,No_Transshipment
75,4,6
75,5,6
75,6,6
75,7,6
75,8,6
75,9,6
75,10,6
75,11,6
75,12,6
75,13,6
75,14,6
75,15,6
75,16,6
75,17,7
75,18,7
75,19,8
75,20,9
76,0,No_Transshipment
76,1,No_Transshipment
76,2,No_Transshipment
76,3,No_Transshipment
76,4,7
76,5,6
76,6,6
76,7,6
76,8,6
76,9,6
76,10,6
76,11,6
76,12,6
76,13,6
76,14,6
76,15,6
76,16,6
76,17,7
76,18,7
76,19,8
76,20,9
77,0,No_Transshipment
77,1,No_Transshipment
77,2,No_Transshipment
77,3,No_Transshipment
77,4,7
77,5,6
77,6,6
77,7,6
77,8,6
77,9,6
77,10,6
77,11,6
77,12,6
77,13,6
77,14,6
77,15,6
77,16,6
77,17,7
77,18,7
77,19,8
77,20,9
78,0,No_Transshipment
78,1,No_Transshipment
78,2,No_Transshipment
78,3,No_Transshipment
78,4,7
78,5,6
78,6,6
78,7,6
78,8,6
78,9,6
78,10,6
78,11,6
78,12,6
78,13,6
78,14,6
78,15,6
78,16,6
78,17,7
78,18,7
78,19,8
78,20,9
79,0,No_Transshipment
79,1,No_Transshipment
79,2,No_Transshipment
79,3,No_Transshipment
79,4,7
79,5,6
79,6,6
79,7,6
79,8,6
79,9,6
79,10,6
79,11,6
79,12,6
79,13,6
79,14,6
79,15,6
79,16,6
79,17,7
79,18,7
79,19,8
79,20,9
80,0,No_Transshipment
80,1,No_Transshipment
80,2,No_Transshipment
80,3,No_Transshipment
80,4,7
80,5,6
80,6,6
80,7,6
80,8,6
80,9,6
80,10,6
80,11,6
80,12,6
80,13,6
80,14,6
80,15,6
80,16,6
80,17,7
80,18,7
80,19,8
80,20,9
81,0,No_Transshipment
81,1,No_Transshipment
81,2,No_Transshipment
81,3,No_Transshipment
81,4,7
81,5,6
81,6,6
81,7,6
81,8,6
81,9,6
81,10,6
81,11,6
81,12,6
81,13,6
81,14,6
81,15,6
81,16,6
81,17,7
81,18,7
81,19,8
81,20,9
82,0,No_Transshipment
82,1,No_Transshipment
82,2,No_Transshipment
82,3,No_Transshipment
82,4,7
82,5,6
82,6,6
82,7,6
82,8,6
82,9,6
82,10,6
82,11,6
82,12,6
82,13,6
82,14,6
82,15,6
82,16,6
82,17,7
82,18,7
82,19,8
82,20,9
83,0,No_Transshipment
83,1,No_Transshipment
83,2,No_Transshipment
83,3,No_Transshipment
83,4,No_Transshipment
83,5,6
83,6,6
83,7,6
83,8,6
83,9,6
83,10,6
83,11,6
83,12,6
83,13,6
83,14,6
83,15,6
83,16,6
83,17,7
83,18,7
83,19,8
83,20,9
84,0,No_Transshipment
84,1,No_Transshipment
84,2,No_Transshipment
84,3,No_Transshipment
84,4,No_Transshipment
84,5,6
84,6,6
84,7,6
84,8,6
84,9,6
84,10,6
84,11,6
84,12,6
84,13,6
84,14,6
84,15,6
84,16,6
84,17,7
84,18,7
84,19,8
84,20,9
85,0,No_Transshipment
85,1,No_Transshipment
85,2,No_Transshipment
85,3,No_Transshipment
85,4,No_Transshipment
85,5,6
85,6,6
85,7,6
85,8,6
85,9,6
85,10,6
85,11,6
85,12,6
85,13,6
85,14,6
85,15,6
85,16,6
85,17,7
85,18,7
85,19,8
85,20,9
86,0,No_Transshipment
86,1,No_Transshipment
86,2,No_Transshipment
86,3,No_Transshipment
86,4,No_Transshipment
86,5,6
86,6,6
86,7,6
86,8,6
86,9,6
86,10,6
86,11,6
86,12,6
86,13,6
86,14,6
86,15,6
86,16,6
86,17,7
86,18,7
86,19,8
86,20,9
87,0,No_Transshipment
87,1,No_Transshipment
87,2,No_Transshipment
87,3,No_Transshipment
87,4,No_Transshipment
87,5,6
87,6,6
87,7,6
87,8,6
87,9,6
87,10,6
87,11,6
87,12,6
87,13,6
87,14,6
87,15,6
87,16,6
87,17,7
87,18,7
87,19,8
87,20,9
88,0,No_Transshipment
88,1,No_Transshipment
88,2,No_Transshipment
88,3,No_Transshipment
88,4,No_Transshipment
88,5,6
88,6,6
88,7,6
88,8,6
88,9,6
88,10,6
88,11,6
88,12,6
88,13,6
88,14,6
88,15,6
88,16,6
88,17,7
88,18,7
88,19,8
88,20,9
89,0,No_Transshipment
89,1,No_Transshipment
89,2,No_Transshipment
89,3,No_Transshipment
89,4,No_Transshipment
89,5,6
89,6,6
89,7,6
89,8,6
89,9,6
89,10,6
89,11,6
89,12,6
89,13,6
89,14,6
89,15,6
89,16,6
89,17,7
89,18,7
89,19,8
89,20,9
90,0,No_Transshipment
90,1,No_Transshipment
90,2,No_Transshipment
90,3,No_Transshipment
90,4,No_Transshipment
90,5,6
90,6,6
90,7,6
90,8,6
90,9,6
90,10,6
90,11,6
90,12,6
90,13,6
90,14,6
90,15,6
90,16,6
90,17,7
90,18,7
90,19,8
90,20,9
91,0,No_Transshipment
91,1,No_Transshipment
91,2,No_Transshipment
91,3,No_Transshipment
91,4,No_Transshipment
91,5,6
91,6,6
91,7,6
91,8,6
91,9,6
91,10,6
91,11,6
91,12,6
91,13,6
91,14,6
91,15,6
91,16,6
91,17,7
91,18,7
91,19,8
91,20,9
92,0,No_Transshipment
92,1,No_Transshipment
92,2,No_Transshipment
92,3,No_Transshipment
92,4,No_Transshipment
92,5,6
92,6,6
92,7,6
92,8,6
